"p1","eff"
"http://dbpedia.org/property/topic",5
"http://dbpedia.org/property/stateHouse",4
"http://dbpedia.org/property/suboffice",4
"http://dbpedia.org/ontology/majorShrine",4
"http://dbpedia.org/ontology/militaryService",4
"http://dbpedia.org/property/posthumousName",4
"http://dbpedia.org/ontology/director",4
"http://dbpedia.org/property/majorShrine",4
"http://dbpedia.org/property/crest",4
"http://dbpedia.org/property/ended",4
"http://dbpedia.org/property/disappearedDate",4
"http://dbpedia.org/property/checked",4
"http://dbpedia.org/property/motto",4
"http://dbpedia.org/property/noicon",4
"http://purl.org/dc/elements/1.1/subject",4
"http://dbpedia.org/ontology/militaryBranch",4
"http://dbpedia.org/property/succession",4
"http://dbpedia.org/property/auto",4
"http://dbpedia.org/property/otherarticle",4
"http://dbpedia.org/property/nickname",4
"http://dbpedia.org/property/headerimage",4
"http://dbpedia.org/property/criminalPenalty",4
"http://dbpedia.org/property/allegiance",4
"http://dbpedia.org/property/escutcheon",4
"http://dbpedia.org/property/employmentField",4
"http://dbpedia.org/property/origin",4
"http://dbpedia.org/ontology/hometown",4
"http://dbpedia.org/property/labels",4
"http://dbpedia.org/property/2a",4
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",4
"http://dbpedia.org/property/associatedActs",4
"http://dbpedia.org/property/stateSenate",4
"http://dbpedia.org/property/signatureAlt",4
"http://dbpedia.org/ontology/worldChampionTitleYear",4
"http://dbpedia.org/property/placeofburialLabel",4
"http://dbpedia.org/property/peakrating",4
"http://dbpedia.org/property/significantDesign",4
"http://dbpedia.org/property/criminalCharge",4
"http://dbpedia.org/ontology/primeMinister",3
"http://dbpedia.org/property/termstart",3
"http://dbpedia.org/property/dateformat",3
"http://dbpedia.org/property/attributes",3
"http://dbpedia.org/property/succeeded",3
"http://dbpedia.org/property/salign",3
"http://dbpedia.org/property/governor",3
"http://dbpedia.org/ontology/activeYearsStartDate",3
"http://dbpedia.org/property/beatifiedPlace",3
"http://dbpedia.org/property/baptised",3
"http://dbpedia.org/ontology/significantBuilding",3
"http://dbpedia.org/ontology/beatifiedPlace",3
"http://dbpedia.org/property/lieutenant",3
"http://dbpedia.org/ontology/language",3
"http://dbpedia.org/property/quoted",3
"http://dbpedia.org/property/child",3
"http://dbpedia.org/property/denomination",3
"http://dbpedia.org/property/writer",3
"http://dbpedia.org/ontology/activeYearsEndDate",3
"http://dbpedia.org/property/workUniversity",3
"http://dbpedia.org/property/cardinal",3
"http://dbpedia.org/property/list",3
"http://dbpedia.org/property/significantBuildings",3
"http://dbpedia.org/property/loc",3
"http://dbpedia.org/property/house",3
"http://dbpedia.org/property/deputy",3
"http://dbpedia.org/property/established",3
"http://dbpedia.org/ontology/orderInOffice",3
"http://dbpedia.org/property/jurisprudence",3
"http://dbpedia.org/property/buried",3
"http://dbpedia.org/ontology/instrument",3
"http://dbpedia.org/property/group",3
"http://dbpedia.org/property/training",3
"http://dbpedia.org/property/preceded",3
"http://dbpedia.org/property/othername",3
"http://dbpedia.org/property/number",3
"http://dbpedia.org/property/blank",3
"http://dbpedia.org/property/style",3
"http://dbpedia.org/property/termLabel",3
"http://dbpedia.org/property/alias",3
"http://dbpedia.org/property/chancellor",3
"http://dbpedia.org/property/signatureSize",3
"http://dbpedia.org/property/captionAlign",3
"http://dbpedia.org/property/creed",3
"http://dbpedia.org/property/beatifiedBy",2
"http://dbpedia.org/property/codename",2
"http://dbpedia.org/property/advisor",2
"http://dbpedia.org/property/termend",2
"http://dbpedia.org/property/see",2
"http://dbpedia.org/property/authorAbbrevBot",2
"http://dbpedia.org/property/about",2
"http://dbpedia.org/property/practice",2
"http://dbpedia.org/property/bSearch",2
"http://dbpedia.org/property/vSearch",2
"http://dbpedia.org/property/logo",2
"http://dbpedia.org/property/canonizedDate",2
"http://dbpedia.org/property/starring",2
"http://dbpedia.org/property/createdCardinalBy",2
"http://dbpedia.org/property/regent",2
"http://dbpedia.org/property/state",2
"http://dbpedia.org/property/otherPost",2
"http://dbpedia.org/property/content",2
"http://dbpedia.org/property/sourcepath",2
