,occupation,effectif,classes
646,Earth sciences,1,sci_nat
647,Dynamic programming,1,ing_info
648,Finite group theory,1,math
649,Finite strain theory,1,math
650,Harvard University,1,none
651,George Washington University,1,none
652,Geodesist,1,sci_nat
653,Geodynamics,1,sci_nat
654,Geometric group theory,1,math
655,Geometrical optics,1,sci_nat
656,Geometry of numbers,1,math
657,Geophysicist,1,sci_nat
658,German studies,1,sci_hum
659,Formal language,1,none
660,Germanist,1,sci_hum
661,Glaciology,1,sci_nat
662,Graphics,1,none
663,Greek language,1,sci_hum
664,Group Theory,1,math
665,Harmonic analysis (mathematics),1,none
666,Genomics,1,sci_nat
667,Genetics,1,sci_nat
668,General topology,1,math
669,General relativity,1,sci_nat
670,Galois theory,1,math
671,Fuzzy mathematics,1,math
672,Functional integration,1,math
673,Functional equations,1,math
674,Functional equation,1,math
675,Function space,1,math
676,Friar,1,theo
677,Freemason,1,autre
678,Franciscan priest,1,theo
679,Fourier analysis,1,math
680,Foundations of mathematics,1,math
681,Foundations of geometry,1,math
682,Formal language theory,1,sci_hum
683,Zoology,1,sci_nat
