,0
1256,math
1257,math
1258,math
1259,autre
1260,autre
1261,autre
1262,math
1263,math
1264,math
1265,autre
1266,math
1267,autre
1268,autre
1269,math
1270,sci_nat
1271,math
1272,math
1273,math
1274,math
1275,sci_nat
1276,math
1277,math
1278,math
1279,math
1280,math
1281,math
1282,math
1283,math
1284,math
1285,math
1286,sci_nat
1287,math
1288,math
1289,math
1290,math
1291,autre
1292,math
1293,math
1294,math
1295,math
1296,math
1297,autre
1298,math
1299,autre
1300,math
1301,autre
1302,math
1303,math
1304,math
1305,math
1306,math
1307,math
1308,autre
1309,math
1310,autre
1311,math
1312,math
1313,autre
1314,math
1315,math
1316,autre
1317,math
1318,math
1319,math
1320,math
1321,math
1322,sci_nat
1323,phylo
1324,autre
1325,math
1326,math
1327,math
1328,sci_hum
1329,math
1330,math
1331,math
1332,math
1333,math
1334,math
1335,math
1336,math
1337,autre
1338,math
1339,math
1340,autre
1341,math
1342,autre
1343,autre
1344,autre
1345,math
1346,math
1347,sci_nat
1348,math
1349,math
1350,math
1351,math
1352,math
1353,math
1354,math
1355,math
1356,math
1357,autre
1358,math
1359,math
1360,math
1361,autre
1362,autre
1363,math
1364,math
1365,math
1366,sci_nat
1367,sci_hum
1368,autre
1369,math
1370,math
1371,autre
1372,sci_nat
1373,autre
1374,math
1375,sci_nat
1376,autre
1377,math
1378,math
1379,math
1380,math
1381,math
1382,math
1383,sci_nat
1384,math
1385,autre
1386,sci_hum
1387,autre
1388,math
1389,math
1390,math
1391,math
1392,math
1393,math
1394,math
1395,autre
1396,math
1397,math
1398,sci_nat
1399,autre
1400,math
1401,math
1402,math
1403,math
1404,math
1405,math
1406,sci_nat
1407,math
1408,math
1409,math
1410,math
1411,math
1412,math
1413,math
1414,phylo
1415,math
1416,ing_info
1417,autre
1418,math
1419,math
1420,math
1421,math
1422,autre
1423,math
1424,autre
1425,math
1426,math
1427,autre
1428,math
1429,math
1430,sci_nat
1431,math
1432,math
1433,autre
1434,math
1435,sci_nat
1436,math
1437,math
1438,math
1439,math
1440,math
1441,math
1442,math
1443,math
1444,math
1445,math
1446,math
1447,math
1448,math
1449,sci_nat
1450,math
1451,math
1452,math
1453,autre
1454,math
1455,math
1456,math
1457,math
1458,sci_nat
1459,math
1460,math
1461,math
1462,math
1463,math
1464,phylo
1465,math
1466,math
1467,math
1468,math
1469,math
1470,math
1471,sci_hum
1472,math
1473,math
1474,math
1475,math
1476,autre
1477,math
1478,math
1479,math
1480,math
1481,phylo
1482,autre
1483,math
1484,math
1485,phylo
1486,math
1487,math
1488,math
1489,autre
1490,math
1491,sci_nat
1492,math
1493,math
1494,math
1495,math
1496,math
1497,math
1498,math
1499,math
1500,phylo
1501,math
1502,sci_hum
1503,math
1504,math
1505,math
1506,math
1507,math
1508,autre
1509,math
1510,math
1511,sci_nat
1512,math
1513,math
1514,math
1515,sci_nat
1516,math
1517,autre
1518,math
1519,autre
1520,math
1521,math
1522,autre
1523,math
1524,math
1525,autre
1526,autre
1527,math
1528,math
1529,math
1530,sci_nat
1531,phylo
1532,math
1533,math
1534,sci_nat
1535,sci_nat
1536,autre
1537,autre
1538,math
1539,math
1540,autre
1541,math
1542,math
1543,sci_hum
1544,autre
1545,math
1546,math
1547,math
1548,math
1549,autre
1550,math
1551,math
1552,math
1553,math
1554,math
1555,math
1556,math
1557,phylo
1558,autre
1559,autre
1560,math
1561,math
1562,math
1563,math
1564,math
1565,math
1566,autre
1567,math
1568,math
1569,math
1570,math
1571,math
1572,math
1573,math
1574,math
1575,ing_info
1576,math
1577,math
1578,math
1579,math
1580,math
1581,math
1582,math
1583,math
1584,autre
1585,autre
1586,math
1587,autre
1588,math
1589,math
1590,math
1591,math
1592,math
1593,phylo
1594,math
1595,autre
1596,autre
1597,ing_info
1598,math
1599,math
1600,math
1601,autre
1602,sci_nat
1603,autre
1604,sci_nat
1605,autre
1606,math
1607,math
1608,autre
1609,math
1610,math
1611,autre
1612,math
1613,math
1614,math
1615,math
1616,ing_info
1617,math
1618,math
1619,math
1620,math
1621,math
1622,math
1623,math
1624,math
1625,math
1626,autre
1627,autre
1628,math
1629,math
1630,math
1631,math
1632,math
1633,math
1634,math
1635,math
1636,math
1637,math
1638,phylo
1639,math
1640,math
1641,math
1642,math
1643,math
1644,math
1645,sci_nat
1646,autre
1647,math
1648,math
1649,math
1650,math
1651,math
1652,sci_hum
1653,math
1654,math
