"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Michael_O._Rabin","http://dbpedia.org/resource/Computer_science","Computer science",1931
"http://dbpedia.org/resource/Peter_Wynn_(mathematician)","http://dbpedia.org/resource/Mathematician","Mathematician",1931
"http://dbpedia.org/resource/Barbara_McMartin","http://dbpedia.org/resource/Adirondack_Mountains","Adirondack Mountains",1931
"http://dbpedia.org/resource/Barbara_McMartin","http://dbpedia.org/resource/Author","Author",1931
"http://dbpedia.org/resource/Dagmar_R._Henney","http://dbpedia.org/resource/George_Washington_University","George Washington University",1931
"http://dbpedia.org/resource/Philip_Saffman","http://dbpedia.org/resource/Fluid_dynamics","Fluid dynamics",1931
"http://dbpedia.org/resource/Philip_Saffman","http://dbpedia.org/resource/Fluid_mechanics","Fluid mechanics",1931
"http://dbpedia.org/resource/Huzihiro_Araki","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Hyman_Bass","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Huzihiro_Araki","http://dbpedia.org/resource/Physics","Physics",1932
"http://dbpedia.org/resource/Blagovest_Sendov","http://dbpedia.org/resource/Politician","Politician",1932
"http://dbpedia.org/resource/Blagovest_Sendov","http://dbpedia.org/resource/Mathematician","Mathematician",1932
"http://dbpedia.org/resource/Blagovest_Sendov","http://dbpedia.org/resource/Diplomat","Diplomat",1932
"http://dbpedia.org/resource/M._S._Narasimhan","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Myhailo_Yadrenko","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Andrew_M._Bruckner","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Louis_de_Branges_de_Bourcia","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Shoshichi_Kobayashi","http://dbpedia.org/resource/Mathematics","Mathematics",1932
"http://dbpedia.org/resource/Daihachiro_Sato","http://dbpedia.org/resource/Mathematician","Mathematician",1932
"http://dbpedia.org/resource/Jean-Paul_Benzécri","http://dbpedia.org/resource/Statistics","Statistics",1932
"http://dbpedia.org/resource/Kenneth_Appel","http://dbpedia.org/resource/Combinatorics","Combinatorics",1932
"http://dbpedia.org/resource/Kenneth_Appel","http://dbpedia.org/resource/Topology","Topology",1932
"http://dbpedia.org/resource/Kenneth_Appel","http://dbpedia.org/resource/Graph_theory","Graph theory",1932
"http://dbpedia.org/resource/John_G._Thompson","http://dbpedia.org/resource/Group_theory","Group theory",1932
"http://dbpedia.org/resource/Oleg_Lupanov","http://dbpedia.org/resource/Cybernetics","Cybernetics",1932
